Competitive Bid Service Area ID,Competitive Bid Service Area Name,Company Name,DBA Name,Address,Address 2,City,State,Zip,Zip Plus 4,Phone,Toll-Free Telephone,Product Category Name,Competitive Bid
,,RALEYS,RALEY'S PHARMACY #336,2400 SAND CREEK RD,,BRENTWOOD,CA,94513,,(925)513-8844,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #447,4650 NATOMAS BLVD,,SACRAMENTO,CA,95835,,(916)419-6644,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEYS #302,10430 TWIN CITIES RD,,GALT,CA,95632,,(209)745-4881,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #105,1630 ROBB DR,,RENO,NV,89523,,(775)746-6404,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #230,39 LINCOLN BOULEVARD,,LINCOLN,CA,95648,,(916)408-3633,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEYS PHARMACY #410,25025 BLUE RAVINE RD,,FOLSOM,CA,95630,,(916)351-0303,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEYS PHARMACY #443,4900 ELK GROVE BLVD,,ELK GROVE,CA,95758,,(916)683-0720,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #306,4255 E MORADA LANE,,STOCKTON,CA,95212,,(209)956-9444,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #228,4051 WOODCREEK OAKS BLVD,,ROSEVILLE,CA,95747,,(916)774-3344,,Automatic External Defibrillators (AEDS),N
,,RALEYS,RALEY'S PHARMACY #329,157 N MCDOWELL BLVD,,PETALUMA,CA,94954,,(707)765-9100,,Automatic External Defibrillators (AEDS),N
,,HOME HEALTH CARE INC.,COMMONWEALTH HOME HEALTH CARE,479 PINEY FOREST RD,,DANVILLE,VA,24540,,(434)797-2332,,Automatic External Defibrillators (AEDS),N
,,JOHN CURELLI,JOHN CURELLI,12 OLD SCHOOLHOUSE VILLAGE,,VINEYARD HAVEN,MA,2568,,(508)693-4380,,Automatic External Defibrillators (AEDS),N
,,"DASCO-ALLIANCE, LTD.",DASCO/ALLIANCE LTD,270 E STATE ST,STE 130,ALLIANCE,OH,44601,,(330)829-0565,,Automatic External Defibrillators (AEDS),N
,,"AIR-WAY MEDICAL, INC.",AIR WAY MEDICAL,437 E LINE ST,,BISHOP,CA,93514,,(760)872-1117,,Automatic External Defibrillators (AEDS),N
,,"MEDIDEX, INC",BACH MEDICAL SUPPLY,1711 E SUNSHINE ST,,SPRINGFIELD,MO,65804,,(417)883-1400,,Automatic External Defibrillators (AEDS),N
,,"MEDIDEX, INC",BACH MEDICAL SUPPLY,1765 S KENTWOOD,,SPRINGFIELD,MO,65804,,(417)447-3583,,Automatic External Defibrillators (AEDS),N
,,JAIROS MEDICAL EQUIPMENT INC.,"JAIROS MEDICAL EQUIPMENT, INC",1823 PONCE DE LEON BLVD,,CORAL GABLES,FL,33134,,(305)529-9976,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,4642 WEST 12TH ST,SUITES 2&3,ERIE,PA,16505,,(814)454-5995,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,775E LINTON AVE,,SPRINGFIELD,IL,62703,,(217)789-0461,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,3229 SUNSET BLVD C,,WEST COLUMBIA,SC,29169,,(803)786-6900,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,2029 LYONS RD,,MIAMISBURG,OH,45342,,(937)312-9298,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,2540 OSCAR JOHNSON DR,,NORTH CHARLESTON,SC,29405,,(843)747-0341,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,5324 GEORGIA HIGHWAY 85,STE 200,FOREST PARK,GA,30297,,(404)479-4922,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,141 BERNOULLI CIR,,OXNARD,CA,93030,,(805)983-0926,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,325A INGLESBY PKWY,,DUNCAN,SC,29334,,(864)433-0615,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,612 BEATTY RD,STE D,MONROEVILLE,PA,15146,,(412)373-1603,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,2024S MAIDEN LN 1,,JOPLIN,MO,64804,,(417)782-6212,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,4210 1ST AVE 310,,NITRO,WV,25143,,(304)755-0718,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,3202 ROBERT C BYRD DR,,BECKLEY,WV,25801,,(304)255-1464,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,4 PRESIDENTIAL WAY,UNIT A,WOBURN,MA,1801,,(978)657-8446,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,2198 WILLIAMS HWY 207/208,,WILLIAMSTOWN,WV,26187,,(304)375-2039,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,170 CARANDO DR,,SPRINGFIELD,MA,1104,,(413)736-4529,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,678 ELMWOOD AVE,,SHARON HILL,PA,19079,,(610)461-5190,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,4416S 40TH ST,,SAINT JOSEPH,MO,64503,,(816)233-2449,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,70 CATAMORE BLVD,,EAST PROVIDENCE,RI,2914,,(401)435-8500,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,1319 E OHIO ST,,CLINTON,MO,64735,,(660)885-8129,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,170 OBERLIN N AVE 24,,LAKEWOOD,NJ,8701,,(732)905-1400,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,5345S MOORLAND RD,,NEW BERLIN,WI,53151,,(262)207-1551,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,15333 W 95TH ST,,LENEXA,KS,66219,,(913)492-2212,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,10910N 2ND ST,,MACHESNEY PARK,IL,61115,,(815)633-7778,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,859E BROADWAY,,MONONA,WI,53716,,(608)221-5480,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,40 SEBETHE DR,,CROMWELL,CT,6416,,(860)613-4900,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,245 ELLERY CT,,NASHVILLE,TN,37214,,(615)321-5874,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,2101 MAXWELL AVE,,EVANSVILLE,IN,47711,,(812)471-0202,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,1714 N 5TH ST,,TERRE HAUTE,IN,47804,,(812)232-0267,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,6413 CROSS CREEK BLVD,,FORT WAYNE,IN,46818,,(260)489-7722,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,1160S CREASY LN 6,,LAFAYETTE,IN,47905,,(765)448-9995,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,4401W WILLIAMSBURG BLVD,,MUNCIE,IN,47304,,(765)286-8017,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,7353 COMPANY DR,,INDIANAPOLIS,IN,46237,,(317)865-4200,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,599E MANDOLINE AVE,,MADISON HEIGHTS,MI,48071,,(248)588-1607,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,4675 TURNBERRY DR,,HANOVER PARK,IL,60133,,(847)252-2000,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE INC,701 W TOWNLINE,STE B,CRESTON,IA,50801,,(641)782-6892,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,3703N CLIFF AVE,,SIOUX FALLS,SD,57104,,(605)334-8418,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,36 EAGLE DR,,LEXINGTON,OH,44904,,(419)884-0802,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,16550 SCHEER BLVD,STE 3,HUDSON,FL,34667,,(727)868-8554,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,501 COVIL AVE 400,,WILMINGTON,NC,28403,,(910)343-8930,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE INC,8868 RESEARCH BLVD,STE 107,AUSTIN,TX,78758,,(512)451-5599,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,4600 LOCKHILL SELMA RD,STE 105,SAN ANTONIO,TX,78249,,(210)494-0203,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,5449 BEAR LN 400,,CORPUS CHRISTI,TX,78405,,(361)299-2535,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,401 S 77 SUNSHINESTRIP,STE C,HARLINGEN,TX,78550,,(956)428-4091,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,4062 TECHNOLOGY DR,,MAUMEE,OH,43537,,(419)471-1919,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,1014 N BUTLER AVE,,FARMINGTON,NM,87401,,(505)325-7575,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,1700W 1ST ST 3,,CASPER,WY,82604,,(307)577-0696,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,821 MOUNT RUSHMORE RD,,RAPID CITY,SD,57701,,(605)341-2273,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,2956 NORTH AVE,STE 3,GRAND JUNCTION,CO,81504,,(970)245-1604,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,420W 67TH ST,,LOVELAND,CO,80538,,(970)663-0500,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,37 COMMERCE AVE,STE 2,SOUTH BURLINGTON,VT,5403,,(802)865-7801,,Automatic External Defibrillators (AEDS),N
,,P & R HOME IV SERVICE INC,P & R MEDICAL CONNECTION,16937 DEFIANCE TRL,,VAN WERT,OH,45891,,(800)587-7670,,Automatic External Defibrillators (AEDS),N
,,BLACKBURNS PHYSICIANS PHARMACY INC,BLACKBURNS PHYSICIANS PHARMACY INC,301 CORBET ST,,TARENTUM,PA,15084,,(724)224-9100,,Automatic External Defibrillators (AEDS),N
,,"MASS SURGICAL SUPPLY, LLC",MASS SURGICAL SUPPLY LLC,249 HIGH ST,,HOLYOKE,MA,1040,,(413)532-1401,,Automatic External Defibrillators (AEDS),N
,,BOARDMAN MEDICAL SUPPLY CO,BOARDMAN MEDICAL SUPPLY COMPANY,404 BOARDMAN CANFIELD RD,,YOUNGSTOWN,OH,44512,,(330)758-0595,,Automatic External Defibrillators (AEDS),N
,,BOARDMAN MEDICAL SUPPLY CO,BOARDMAN MEDICAL SUPPLY COMPANY,300 N STATE ST,,GIRARD,OH,44420,,(330)545-6700,,Automatic External Defibrillators (AEDS),N
,,"CARE MEDICAL OF ATHENS, INC.","CARE MEDICAL OF ATHENS, INC.",1242 PRINCE AVE,,ATHENS,GA,30606,,(706)354-4136,,Automatic External Defibrillators (AEDS),N
,,WESTPORT APOTHECARY INC,WESTPORT APOTHECARY INC,784 MAIN RD,,WESTPORT,MA,2790,,(508)636-5957,,Automatic External Defibrillators (AEDS),N
,,"WEST HOME HEALTH CARE, INC",WEST HOME HEALTH CARE INC,2026 DABNEY RD,STE C,RICHMOND,VA,23230,,(804)353-7703,,Automatic External Defibrillators (AEDS),N
,,"HERRON & SMITH, INC.",HERRON AND SMITH INC,8 INDUSTRIAL PARK DR,UNIT 20,HOOKSETT,NH,3106,,(603)627-8500,,Automatic External Defibrillators (AEDS),N
,,CORNELL SURGICAL CO,CORNELL SURGICAL CO,30 NEW BRIDGE RD,,BERGENFIELD,NJ,7621,,(201)384-9000,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,1202 W 21ST ST,,CLOVIS,NM,88101,,(575)763-0202,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,4619 W LOOP 289,,LUBBOCK,TX,79414,,(806)791-0202,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE,1201 S HOPE ST,,EL CENTRO,CA,92243,,(760)353-6470,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,38888 EL DESIERTO RD,,PALM DESERT,CA,92211,,(760)200-2918,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,431 ALAMAHA ST,# 2&3B,KAHULUI,HI,96732,,(808)871-4267,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,2339 COURAGE DR,STE G,FAIRFIELD,CA,94533,,(707)422-9901,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,600E MORLEY DR,,SAGINAW,MI,48601,,(989)752-0141,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,1931 LUNDY AVE,,SAN JOSE,CA,95131,,(408)383-4420,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,12520 BUSINESS CENTER DR,STE E,VICTORVILLE,CA,92395,,(760)241-4488,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,2476 VERNA CT,,SAN LEANDRO,CA,94577,,(510)346-4000,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,609 N COURT ST,,CARROLL,IA,51401,,(712)792-6022,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,318N CLEVELAND AVE,,WICHITA,KS,67214,,(316)689-4500,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,181 DAVIS JOHNSON DR D,,RICHLAND,MS,39218,,(601)362-0523,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,2127W VISTA ST,,SPRINGFIELD,MO,65807,,(417)890-0551,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,2198 PASS RD,,BILOXI,MS,39531,,(228)385-2200,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,265 SOUTH ST,STE E,SAN LUIS OBISPO,CA,93401,,(805)783-7412,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,4249 PIEDMONT PKWY 101,,GREENSBORO,NC,27410,,(336)632-9556,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,9143 PHILIPS HWY 280,,JACKSONVILLE,FL,32256,,(904)363-3200,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,10156 L ST,,OMAHA,NE,68127,,(402)731-8700,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,16811 MILLIKAN AVE,,IRVINE,CA,92606,,(949)705-4000,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE,98-720 KUAHAO PL,,PEARL CITY,HI,96782,,(808)485-0178,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE INC,4421 MCLEOD RD NE,STE A,ALBUQUERQUE,NM,87109,,(505)881-9111,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,10500 BLUEGRASS PKWY,STE 1,LOUISVILLE,KY,40299,,(502)499-9099,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,2327 CROWNE POINT DR,,SHARONVILLE,OH,45241,,(513)772-1907,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,4001 BROADWAY,STE B,EUREKA,CA,95503,,(707)444-8022,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,23707 W HARDY RD,STE D,SPRING,TX,77373,,(281)765-4400,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,8300 ESTERS BLVD,STE 920,IRVING,TX,75063,,(972)621-2005,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,116S MERRITT AVE,,IRON MOUNTAIN,MI,49801,,(906)779-1892,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,4513 BROADMOOR SEAVE D,,GRAND RAPIDS,MI,49512,,(616)698-9119,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,276 N WICKHAM RD,,MELBOURNE,FL,32935,,(321)255-3534,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,989W WASHINGTON ST 105,,MARQUETTE,MI,49855,,(906)228-2230,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,1581E 90TH PL,,MERRILLVILLE,IN,46410,,(219)736-1302,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE INC,1605 EASTPORT PLAZA DR,STE 121,COLLINSVILLE,IL,62234,,(618)343-3700,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,111E WASHINGTON AVE,,RED OAK,IA,51566,,(712)623-5466,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,579 S FRANKLIN ST,,FORT BRAGG,CA,95437,,(707)961-1770,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE INC,4970 RANGELINE RD,,MOBILE,AL,36619,,(251)665-5200,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,4 GENDRON DR 4,,LEWISTON,ME,4240,,(207)402-3204,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,755 BEVINS ST,,LAKEPORT,CA,95453,,(707)262-7046,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,815 MARLBOROUGH AVE,STE 200,RIVERSIDE,CA,92507,,(951)320-1100,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,221 E GOBBI ST,,UKIAH,CA,95482,,(707)468-9242,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,2808 E PARHAM RD,,RICHMOND,VA,23228,,(804)553-4964,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,534W PINE ST,,FARMINGTON,MO,63640,,(573)756-6762,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,811 LAUKAPU ST,STE 9,HILO,HI,96720,,(808)969-1211,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,5000 TREMONT AVE,STE 101,DAVENPORT,IA,52807,,(563)388-9530,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,6503W HOOD PL A,,KENNEWICK,WA,99336,,(509)783-8413,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,5151 STARKEY RD,STE B,ROANOKE,VA,24018,,(540)772-0411,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,2050 VISTA SEAVE 100-110,,SALEM,OR,97302,,(503)480-1100,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,3443 PARKWAY CENTER CT,,ORLANDO,FL,32808,,(407)297-0100,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,14 INDUSTRIAL DRIVE,STE 1 AND 3,DUBOIS,PA,15801,,(814)626-7073,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,10090 WILLOW CREEK RD,,SAN DIEGO,CA,92131,,(858)653-6800,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,10318 SANTA FE SPRINGS RD,,SANTA FE SPRINGS,CA,90670,,(562)222-2245,,Automatic External Defibrillators (AEDS),N
,,DASCO HME LLC,DASCO HOME MEDICAL EQUIPMENT,1054 BELLEFONTAINE AVE,STE A,LIMA,OH,45804,,(419)224-1135,,Automatic External Defibrillators (AEDS),N
,,DASCO HME LLC,DASCO HME,375 N WEST ST,,WESTERVILLE,OH,43082,,(614)901-2226,,Automatic External Defibrillators (AEDS),N
,,AMITA CORP,KOMISHANES PHARMACY,199 STUYVESANT AVE,,NEWARK,NJ,7106,,(973)399-0900,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,2021 BROOKSIDE LN,,KINGSPORT,TN,37660,,(423)247-4277,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,4295 BUSINESS DR,,SHINGLE SPRINGS,CA,95682,,(530)677-2312,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,2975 HIGHWAY 45 BYP A,,JACKSON,TN,38305,,(731)668-7611,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,1828 MIDPARK RD A,,KNOXVILLE,TN,37921,,(865)588-5396,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,4740 E SHELBY DR,STE 104,MEMPHIS,TN,38118,,(901)368-1200,,Automatic External Defibrillators (AEDS),N
,,APRIA HEALTHCARE LLC,APRIA HEALTHCARE LLC,5959 SHALLOWFORD RD 545,,CHATTANOOGA,TN,37421,,(423)499-0212,,Automatic External Defibrillators (AEDS),N
